Other,Tool,Economic,Connection,Info,Spanish,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1
,1,,,1,English,25,3,3,6,3,1,2,1
,,,,1,English,21,7,2,6,6,7,2,1
,,,,1,English,36,2,2,6,7,1,2,2
,,,,1,English,46,6,1,2,3,4,2,1
,,,,1,English,51,3,3,3,3,1,2,2
,,,,1,English,42,8,2,1,6,1,2,2
,,,1,,English,19,8,3,6,3,1,2,2
,1,,,1,English,61,3,2,1,4,6,2,1
,1,,1,1,English,63,99,3,6,7,1,8,9
,,,1,1,English,65,99,2,2,6,3,2,1
,,,,1,English,51,6,1,1,3,1,2,9
1,,,,,English,18,8,2,6,3,2,2,1
,,,1,,English,20,9,1,6,4,1,1,1
,,,1,1,English,36,9,2,1,6,1,2,3
,,,,1,English,44,9,2,1,6,1,2,1
,,,,1,English,65,8,2,5,6,3,2,1
,,,,1,English,54,99,2,6,7,2,2,3
,,,,1,English,46,5,1,2,4,1,2,1
,,1,1,,English,46,7,2,3,6,1,2,2
,,,1,,English,46,4,2,6,2,1,2,2
,,,,1,English,55,1,4,2,2,2,2,1
,,,,1,English,45,6,2,1,5,1,2,1
1,,,,,English,90,9,2,5,7,3,2,1
,,,,1,English,55,1,1,1,6,5,2,1
,,,1,1,English,30,9,2,1,6,1,2,1
,,,,1,English,30,99,1,1,6,1,2,1
,,,1,,English,66,8,9,1,6,1,2,1
,,,,1,English,43,7,2,1,6,1,2,1
,,,1,,English,30,5,1,1,8,1,2,1
,,1,1,,English,24,99,9,6,3,4,2,2
,,,,1,English,68,7,2,1,7,3,2,1
1,,,,,English,60,99,2,1,6,1,2,1
,,1,,,English,64,6,1,6,8,1,2,1
,,,,1,English,50,99,2,1,4,4,2,1
,1,,,,English,48,3,2,1,5,5,2,1
,,,,1,English,38,7,3,1,8,1,2,3
,1,1,,,English,23,3,1,2,6,1,2,1
,1,,,1,English,21,1,2,6,4,2,2,1
,,1,,1,English,99,8,2,1,6,1,2,1
1,,,,,English,21,9,2,6,4,2,1,1
1,,,,,English,40,1,4,1,4,99,2,1
1,,,,,English,84,5,1,5,5,3,2,5
,,,,1,English,23,7,2,1,3,1,2,1
,,,,1,English,40,8,1,1,6,1,2,1
,,,,1,English,56,9,1,1,6,1,2,1
,,,1,,English,66,7,3,1,8,1,2,1
