Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
,1,,,,2,66,3,1,1,4,3,1,1,3,12,2,,,,,,,,,,,,,,,,
,,,,1,2,43,6,2,1,3,4,1,1,4,6,2,1,,,,,,,,,,,,,1,,
,,,1,,2,25,4,2,6,6,1,1,1,4,6,2,,,,,,,,,,,,,,,,
,,1,,,2,30,2,2,1,1,2,1,1,1,34,1,,,,,,,,,,,,,,,,
,1,,1,,2,54,2,2,1,2,6,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,2,68,1,1,6,7,3,1,7,4,6,1,,,,1,,,,,,,,,,,,1
,,,1,,2,27,3,1,1,3,2,1,1,3,48,2,,,,,,,,,,,,,,,,
1,,,,,2,57,2,4,1,1,1,1,7,4,4,1,,,,,,,,,,,,,,,,
,1,,,1,2,40,4,3,1,3,1,1,1,3,21,1,,,1,,,,,,,,,,,,,
,,1,,,2,38,99,2,1,3,1,1,7,4,6,1,,,,,,,,,,,,,,,,
1,,,,,2,34,4,2,1,4,4,1,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,2,52,98,8,1,1,2,1,8,3,13,2,,,,,,,,,,,,,,,,
,,,,1,2,26,2,2,1,3,4,1,1,3,48,2,1,,1,,1,,,,,,,,,,,
,,,1,,2,63,98,3,4,2,2,1,1,3,48,2,,,,,,,,,,,,,,,,
,,1,,,2,31,9,9,2,4,1,1,7,3,48,1,,,,,,,,,,,,,,,,
,1,,1,,2,30,4,3,1,3,1,1,7,4,6,2,,,,,,,,,,,,,,,,
,,,1,,2,40,1,3,1,1,4,1,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,2,50,2,2,5,2,4,1,7,3,13,2,,,,1,,,,,,1,,,,,,
,,,1,1,2,36,1,1,4,2,4,1,1,4,6,2,1,,,,,1,,,,,,,,,,
,1,,1,,2,41,2,3,1,3,8,1,7,3,47,1,,,,,,,,,,,,,,,,
,,,,1,1,28,3,3,6,4,4,2,1,4,8,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,20,6,2,6,4,2,2,1,3,45,1,,,,,,,,,,,,,,,,
,,,,1,1,62,2,1,3,5,1,2,1,3,37,2,1,,,,1,,,,,,,,1,,,
,,,1,,1,67,2,1,1,8,3,2,3,4,6,1,,,,,,,,,,,,,,,,
,,,1,,1,46,6,2,2,6,1,2,2,3,37,2,,,,,,,,,,,,,,,,
,,,1,,1,84,99,9,9,99,99,9,9,1,42,2,,,,,,,,,,,,,,,,
,,,,1,1,67,8,1,1,7,3,2,1,2,26,1,1,,,,1,,,,,,,,,,,
1,1,,,,1,97,9,2,1,7,1,2,1,4,53,1,,,,,,,,,,,,,,,,
1,,,,,1,77,6,2,1,3,3,2,2,1,36,1,,,,,,,,,,,,,,,,
