Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
,,1,1,1,1,35,8,3,1,6,1,1,7,4,6,1,1,,,,,,,1,,,,,,,,1
,,,,1,1,20,6,2,6,4,8,2,2,3,22,2,1,,,,1,,,,,,1,,,,,
,,,1,,1,22,4,1,2,4,6,2,3,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,30,2,2,4,2,1,2,1,2,39,2,1,,,,,,,,,,1,,,,,
1,,,,,1,84,3,2,5,6,3,2,2,2,17,2,,,,,,,,,,,,,,,,
,,,1,,1,50,99,1,9,6,2,2,1,4,6,2,,,,,,,,,,,,,,,,
,,,,1,1,81,2,3,5,3,3,2,1,2,39,2,,,,,,,,,1,1,,,,,,1
,,,,1,1,60,5,1,1,3,1,2,1,3,13,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,57,7,1,2,3,1,2,1,1,36,2,1,,,,,,,,,,,,,,,
,,,,1,1,99,4,1,3,3,1,2,1,2,39,2,1,,,,,,,,,,,,,,,
,,,,1,1,43,4,3,1,6,2,2,1,1,36,1,1,,,,,,,,,,,,,,,
,,,,1,1,51,9,2,1,8,1,2,1,3,51,1,,,,,,,,1,,,,,,,,
,,,1,,1,73,5,1,5,5,1,2,1,3,47,1,,,,,,,,,,,,,,,,
,,,1,1,1,53,4,2,6,3,1,2,2,1,36,2,1,,,,,,,,,,,,,,,
,,,1,,1,62,9,2,1,8,1,2,1,1,36,2,,,,,,,,,,,,,,,,
,,,,1,1,25,3,2,6,6,2,2,1,2,55,1,1,,,,,,1,1,,,,,,,,
,,,,1,1,62,9,2,2,4,5,2,1,1,36,1,1,,,,1,,,,,,,,1,,,
,1,,,1,1,47,4,4,6,3,1,2,1,4,6,1,,,,,,,1,,,,,,,,,
,,,,1,1,75,9,1,3,6,3,2,1,3,12,1,1,,,,1,,,,,,,,,,,
,,,,1,1,66,99,9,1,6,1,2,1,4,4,2,,1,,,,,,,,,,1,,,,
1,,,,,1,62,99,1,4,5,3,2,1,1,36,1,,,,,,,,,,,,,,,,
,,,1,,1,45,99,2,1,6,1,2,1,3,48,1,,,,,,,,,,,,,,,,
,,,1,,1,65,7,1,1,4,3,2,1,2,19,1,,,,,,,,,,,,,,,,
,,,,1,1,24,4,2,6,3,4,2,1,2,20,1,1,,,,,,,1,,,,,,,,
,,,,1,1,57,8,2,1,6,1,2,1,1,34,2,1,,,1,,,,,,,1,,,,,1
,,,,1,1,24,3,2,6,3,2,2,1,1,25,1,1,,,,1,,,,,,,,1,,,
,,1,1,1,1,74,9,2,1,7,2,1,1,1,36,1,,,,,,,,,,1,,,,,,
,,,,1,1,66,5,2,2,6,3,2,1,4,6,1,,1,,,,,,1,,,,,,,,
,,,1,,1,71,6,1,5,4,3,2,1,2,20,1,,,,,,,,,,,,,,,,
,,,,1,1,60,6,2,1,6,1,2,1,1,42,1,1,,,,,,,1,,,,,,,,
,,,,1,1,70,8,2,1,6,3,2,1,3,13,1,1,,,,1,,,,,,,,,,,
,,,,1,1,61,6,2,3,6,4,2,1,3,24,2,,,1,,,,,,,1,,,,,,
,,,,1,1,41,8,2,1,6,1,2,2,3,21,1,1,,,,1,,,,,,1,,1,,,
,,,1,1,1,35,3,3,6,3,1,2,1,2,55,1,,1,,,,,1,,,,,,,,,
,,,,1,1,40,8,2,1,3,1,2,1,2,19,1,,1,,,,,,,,,,,,,,
,,,,1,1,51,8,2,1,6,1,2,1,2,39,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,26,6,3,1,6,7,2,1,3,37,1,,,,,,,1,,,,1,,1,,,1
,,,1,1,1,69,8,1,1,6,3,2,1,3,48,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,30,99,4,9,4,2,9,9,1,34,1,1,,,,,,,,,,,,,,,
,,,,1,1,74,6,2,3,6,3,2,1,1,9,2,1,1,,,1,1,,,,,,,1,,,
,,,,1,1,65,5,2,3,6,2,2,1,3,37,2,1,,,,1,,,,,,1,,,1,,
,,,,1,1,47,5,2,1,6,4,2,1,4,41,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,20,98,2,6,3,1,2,2,4,8,1,1,,,,,,,,,,,,,1,,1
,,,,1,1,35,1,2,6,6,4,2,2,2,17,1,,,,,,,1,,,,,,,,,
,,,,1,1,59,6,1,3,6,1,2,1,1,33,1,,,,1,,,,,,,1,,,,,
,,1,,,1,18,98,1,6,3,4,2,1,1,36,1,,,,,,,,,,,,,,,,
,,,,1,1,46,9,2,1,8,2,2,1,2,55,1,1,,,,1,,,,,,1,,,,,
,,,,1,1,90,99,1,1,4,3,2,1,3,28,1,1,,,1,,,,,,,,,,,,
,,,,1,1,60,8,1,1,6,3,2,1,1,36,1,1,,,,,,,1,,,1,,,,,
,,,,1,1,56,3,2,5,5,2,2,2,3,21,2,,,1,1,,,,,,,,,,1,,1
,,,1,,1,62,4,2,1,5,3,2,2,3,1,1,,,,,,,,,,,,,,,,
,,,,1,1,56,5,3,1,3,1,2,1,1,42,2,1,,,1,,1,,,,,,,,,,
,,,,1,1,23,2,2,6,6,2,2,1,1,25,1,1,,,,,,,1,,,,,,,1,
,,,1,,1,71,1,4,5,2,3,2,1,2,26,2,,,,,,,,,,,,,,,,
,,,1,,1,20,6,2,6,4,2,2,2,1,36,2,,,,,,,,,,,,,,,,
1,,,,,1,27,4,2,6,8,2,2,1,3,12,2,,,,,,,,,,,,,,,,
,,,1,1,1,76,5,2,5,5,5,2,1,4,6,2,,,,,,,,,1,,,,,,,1
,,,1,1,1,57,7,1,2,4,1,2,1,2,17,1,1,,,,1,,,,,,,,1,,,
,,,,1,1,60,7,1,3,6,1,2,1,1,36,1,,,,,,1,,,,,,,,,1,
,,,1,,1,60,8,1,1,3,2,2,1,3,47,2,,,,,,,,,,,,,,,,
,,,,1,1,28,6,2,6,6,1,2,1,4,41,1,1,,,,1,,,,,,,,,,,
,,,,1,1,20,8,2,6,5,1,1,7,4,6,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,38,4,1,1,5,2,1,1,4,6,1,,1,,,,,,,,,,,,,,
,,,,1,1,18,98,8,6,2,1,1,7,2,17,2,,,1,,,,,,,,,,,,,
1,,,,,1,79,1,1,5,5,3,2,2,3,13,2,,,,,,,,,,,,,,,,
1,,,,,1,53,98,8,1,3,6,2,3,3,21,2,,,,,,,,,,,,,,,,
,,,,1,1,58,4,2,6,4,1,2,2,3,48,2,1,,1,,,,,,,,,,,,,
,,,1,,1,64,99,2,1,8,1,2,1,3,51,2,,,,,,,,,,,,,,,,
,,,,1,1,55,4,2,5,5,1,1,1,4,35,2,,,,1,,1,,,,,,1,,,,
,,,,1,1,25,4,9,6,6,1,1,2,2,26,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,68,2,1,6,6,2,2,1,2,17,1,1,1,,,1,,,,,,,1,,,,
,,,,1,1,20,6,2,6,4,2,2,1,3,47,1,1,,,,1,,,,,,,,,,,
,,,,1,1,74,6,2,1,6,3,2,1,2,17,1,,,,,,,,,1,,,,,,,1
,,,,1,1,49,7,3,1,5,3,2,2,1,25,2,1,,,,,,1,,,,,,,,,
,,,,1,1,54,8,2,3,6,1,2,1,2,29,2,1,,,,,,,1,,,,,,,1,
,,,,1,1,60,6,1,5,5,3,2,1,2,39,2,1,,,,1,,,,,,,,1,,,
,1,,,1,1,55,8,1,1,5,1,2,1,3,48,1,1,,,,,1,,,1,,,,,,,1
,,,,1,1,31,5,2,1,4,2,2,1,3,48,2,,,,,,1,,,,,,,,,,
,,,,1,1,44,99,1,2,5,1,2,1,2,55,1,1,,,,,,,1,,,,,,,,
,,,,1,1,66,6,1,2,3,3,2,1,3,13,2,1,,,,,,,,,,1,,1,,,
,,,1,1,1,21,99,1,6,4,2,2,1,4,6,1,1,,,,1,,,,,,,1,,,,
,,,,1,1,62,8,1,1,3,1,2,1,1,36,1,1,,,,1,1,,,,,,,,,,1
,,,,1,1,61,8,1,1,4,1,2,5,2,26,1,,,,,,,,,,1,,,,,,
,1,,1,1,1,51,2,3,6,4,1,2,9,3,12,2,1,,,,,,,,,,,,,,,
,,,,1,1,23,98,3,6,3,1,2,1,1,42,1,,1,,,1,1,,,,,,,1,,,
,,,,1,1,24,2,1,2,6,1,2,1,3,48,1,,,,1,,,,,,,,,,,,
,,,,1,1,53,9,3,1,7,1,2,1,4,6,1,1,,,,1,,,,,,,,1,,,1
,,,,1,1,99,7,2,1,6,3,2,1,2,17,1,,1,,,,,,1,,,,,,,,
,,,,1,1,57,99,1,1,6,1,2,1,4,6,1,,1,,,,,,,,,,,,,,1
,,,,1,1,55,8,1,1,6,1,2,1,3,5,1,1,1,,,1,,,,,,,,1,,,
1,,,,,1,42,8,9,9,6,1,2,9,2,26,2,,,,,,,,,,,,,,,,
,,,1,,1,58,98,1,3,2,6,2,1,3,13,2,,,,,,,,,,,,,,,,
,,,,1,1,20,9,1,6,5,2,2,1,2,18,1,1,,,,,,,1,,,,,1,,,
,,,,1,1,82,4,3,1,5,3,2,1,2,17,1,1,,,,1,,,,,,,,,,,
,,1,,,1,55,5,2,6,6,2,2,2,3,12,1,,,,,,,,,,,,,,,,
,1,,,,1,56,99,3,6,2,1,2,5,4,2,1,,,,,,,,,,,,,,,,
,,,,1,1,25,98,2,6,6,1,2,3,4,6,2,,1,,,,,,,,,,,1,,,
,,,,1,1,60,9,2,1,3,2,2,1,1,36,2,1,,,,,,,,,,,,1,,,
,,,1,1,1,58,7,1,1,3,1,2,1,3,12,1,1,,,,1,,,,,,,,,,,
,1,,1,,1,30,8,2,6,6,1,2,4,4,8,1,,,,,,,,,,,,,,,,
,,,,1,1,26,9,2,6,3,2,2,1,1,36,1,,,,,,1,,,,,,,,,,
,,,,1,1,32,9,2,2,6,1,2,1,2,17,1,1,,,,1,,,,,,,,,,,
,,,1,,1,36,99,3,1,8,1,2,1,2,46,2,,,,,,,,,,,,,,,,
1,,,,,1,50,99,9,1,8,1,2,1,1,36,1,,,,,,,,,,,,,,,,
,,,1,,1,24,99,9,6,3,1,1,9,3,48,1,,,,,,,,,,,,,,,,
,1,,1,,1,32,98,4,6,3,4,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,41,6,2,1,3,1,2,1,3,37,1,,,,,,1,,,,,,,,,,
,,,,1,1,57,3,2,6,2,4,2,2,2,27,1,,,,,,1,,,,,,,,,,
,,,,1,1,50,8,2,1,7,1,2,2,2,17,2,1,,,,1,,,,,,,,,,,
,,,1,,1,99,99,2,1,7,3,2,9,2,17,2,,,,,,,,,,,,,,,,
,,,,1,1,39,8,2,1,8,1,2,1,3,51,2,1,,,,,,,,,,1,,,,,
,,,1,,1,72,99,9,1,99,99,9,9,4,6,2,,,,,,,,,,,,,,,,
1,,,,,1,55,7,1,1,4,1,2,1,1,33,1,,,,,,,,,,,,,,,,
,,,,1,1,44,9,3,1,6,1,2,3,3,48,1,1,,,,,,,,,,,,,,,
,,,1,,1,90,3,1,5,7,3,2,1,4,41,2,,,,,,,,,,,,,,,,
,,,1,,1,99,9,2,5,6,3,2,1,3,48,1,,,,,,,,,,,,,,,,
1,,,,,1,23,1,2,6,7,2,2,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,1,39,8,1,1,3,1,2,1,2,29,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,25,9,2,6,6,1,2,3,4,6,2,,,,,,1,,,,,,1,,,,
,,,,1,1,65,99,1,1,8,1,2,1,2,18,1,1,,,,,,,1,,,,,,,,
1,,,,,1,21,2,2,1,3,4,2,2,2,26,1,,,,,,,,,,,,,,,,
,,,,1,1,52,6,2,1,4,1,2,1,2,17,1,,1,,,,,,,,,1,,,,,
,,,,1,1,49,9,2,1,7,1,2,1,2,29,2,1,,,,1,,,,,,1,,1,,,
,,,,1,1,44,1,3,6,4,4,2,1,2,18,1,1,,,,1,1,,,,,,,,,,
,,,,1,1,24,99,2,6,6,1,2,1,1,25,2,,,,,1,,1,,,,,,1,,,
,,,1,1,1,35,9,2,1,6,2,2,1,4,6,2,1,,,,1,,,,,,,,,,,1
1,,,,,1,18,4,1,6,3,2,2,1,2,39,1,,,,,,,,,,,,,,,,
,,,1,,1,87,8,2,1,7,3,2,2,3,48,1,,,,,,,,,,,,,,,,
,,,,1,1,37,6,2,6,7,1,2,1,4,32,1,1,,,,,,,,,,1,,,,,
,,,1,,1,81,9,1,1,5,3,2,1,2,17,2,,,,,,,,,,,,,,,,
,,,,1,1,73,2,2,1,7,3,2,1,3,48,1,1,,,,1,,,,,,,,,,,
,,,1,,1,67,5,3,1,7,3,2,1,3,13,1,,,,,,,,,,,,,,,,
,,,,1,1,56,1,2,6,6,2,2,1,2,19,1,1,,,,1,,,,,,,,1,,,
,,,,1,1,43,8,3,1,6,4,2,3,4,6,1,1,,,,1,,,,,,,,,,,1
,,,,1,1,69,5,2,6,6,3,2,1,4,41,2,1,,,,1,,,,,,,1,,,,
,,,,1,1,66,5,3,3,3,3,2,1,3,48,2,1,,,,1,1,,,,,,1,,,,
,,,1,,1,60,9,1,1,5,1,2,1,3,51,1,,,,,,,,,,,,,,,,
,,,,1,1,83,3,2,3,4,3,2,1,4,53,2,1,,,,,1,,,,,,,,,,
,,,,1,1,57,8,2,1,8,1,2,1,1,34,1,,1,,,,,,1,,,,,,,,
,,,,1,1,61,3,2,3,3,1,2,1,2,38,1,1,,,,1,,,,,,,,1,,,
,,,,1,1,56,4,1,6,7,1,1,1,4,8,1,,1,,,,,,,,,,,,,,
,,,,1,1,63,9,2,6,8,1,2,1,1,44,1,1,,,,1,,,,,,,,,,,
,,,,1,1,47,6,2,2,6,1,2,1,2,39,1,,,,,,,,,,1,,,,,,
,,,,1,1,43,9,2,1,8,4,2,2,4,6,1,1,,,,1,,,,,,1,,,,,
1,,,,,1,53,1,2,3,3,1,2,1,4,53,2,,,,,,,,,,,,,,,,
,,,,1,1,99,99,9,9,99,99,9,9,3,12,1,1,,,,,,,,,,,,,,,
,,,,1,1,33,6,2,2,3,1,2,1,1,42,2,1,,,,1,,,,,,,,1,,1,
,,,,1,1,59,1,2,6,5,6,2,2,4,6,1,,,,,,1,,,1,,,,,,,
,,,,1,1,60,3,1,6,2,2,2,1,3,13,1,,,,,,,,,1,,,,,,,
,,,,1,1,79,1,2,1,1,3,1,7,3,12,1,1,,,,,,,,,,,,,,,
,,,1,,1,71,6,1,1,4,3,2,1,3,54,2,,,,,,,,,,,,,,,,
,,,1,,1,99,99,9,9,8,99,9,9,4,41,1,,,,,,,,,,,,,,,,
,,,,1,1,38,8,1,1,3,1,2,1,3,51,1,1,1,,,1,,,,,,,,,,,
,,,,1,1,88,4,1,1,3,5,2,1,2,26,1,,,,,,1,,,,,,1,,,,
,,,1,,1,50,3,2,1,4,1,2,1,4,53,2,,,,,,,,,,,,,,,,
,,,,1,1,36,7,3,1,6,1,1,1,4,4,1,1,,,,,,,1,,,,,,,1,
,,,1,,1,40,3,5,1,6,1,2,1,4,41,1,,,,,,,,,,,,,,,,
,,,,1,1,65,6,2,3,7,1,2,1,2,39,1,1,,,,1,,,,,,,,,1,,
,,,,1,1,50,98,2,1,6,1,2,1,2,39,2,1,,,,1,,,,,,,1,,,,
,,,,1,1,60,4,3,4,5,1,1,2,3,13,2,1,,,,,,,,,,,,,,,
,,,,1,1,24,5,2,6,6,1,2,1,1,36,1,1,,,,1,,,,,,,,1,,,
1,,,,,1,51,3,2,1,6,1,2,1,1,42,2,,,,,,,,,,,,,,,,
,,,,1,1,37,6,2,6,6,1,2,1,2,26,1,1,,,,1,,,,,,,,1,,,
,,,1,,1,21,6,3,6,3,2,2,3,3,48,1,,,,,,,,,,,,,,,,
,,,,1,1,74,7,1,1,5,2,2,1,3,37,1,,,,1,,,,,,,,,,,,1
,,,,1,1,62,5,1,1,3,3,2,1,4,35,1,1,1,,,1,,,,,,,,,,,
,,,1,,1,30,98,4,1,4,8,2,3,4,6,2,,,,,,,,,,,,,,,,
,,,,1,1,20,9,1,6,6,4,1,7,1,36,1,,,,1,,,,,,,,,,,,
,,,1,1,1,19,98,2,6,3,4,2,1,1,36,2,,,1,,,,,,,,,,,,,
,,,,1,1,80,5,1,1,4,3,2,1,2,55,1,1,,,,,1,,,,,,,1,,,
,,,,1,1,34,3,2,6,5,2,2,2,4,6,1,,,,1,1,,,,,1,1,,,,,
,,,,1,1,66,1,1,5,2,3,2,1,3,21,2,1,,,,1,,,,,,1,,,,,
,,,,1,1,56,6,1,1,5,3,2,1,3,37,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,57,9,1,1,3,1,2,1,2,39,1,,,,,,,,,,,,,,,,
,,,,1,1,78,6,2,1,4,3,2,1,4,15,1,1,,,,,,,,,,,,,,,
,,,,1,1,18,99,2,5,3,4,2,1,1,36,2,1,,,1,1,,,,,,,,1,,,
,,,,1,1,45,9,2,1,8,1,2,1,2,17,2,1,,,,1,,,,,,,,,,,
1,,,,,1,68,3,2,1,3,3,2,1,2,55,1,,,,,,,,,,,,,,,,
,,,,1,1,40,8,2,1,6,1,2,2,3,45,2,,,1,,,1,,,1,,,,,,,1
1,,,,,1,34,7,2,6,8,1,2,1,4,8,2,,,,,,,,,,,,,,,,
,,,,1,1,75,5,2,1,7,3,2,1,3,47,1,1,,,,,,1,,,,,1,,,,
,,,,1,1,65,7,1,1,6,3,2,1,2,18,2,1,,,,1,,,,,,,,,,,
,,,1,,1,25,6,2,6,6,1,2,1,1,36,1,,,,,,,,,,,,,,,,
,1,,,1,1,31,4,1,1,5,4,2,1,3,12,2,,,,,,,1,,,,,,,,,
,,,,1,1,61,8,3,1,7,1,1,1,3,12,1,1,,,,,,,,,,,,,,1,
,,,,1,1,99,99,9,9,99,1,2,9,3,48,2,1,,,,,,,,,,,,,,,
,,,,1,1,23,9,9,9,99,99,9,9,4,6,2,,,,,,,1,,,,,,,,,
,,,,1,1,81,2,1,6,6,3,2,1,2,39,2,,1,,,,,,,,,,,,,,
,,,,1,1,60,7,2,3,3,3,2,1,1,36,2,,,,,,,1,,,,,,,,,
,,,,1,1,70,7,2,1,8,3,1,1,3,1,1,1,,,,,,,,,,1,,,,,
,,,,1,1,27,5,2,6,5,2,2,2,1,36,1,,,,,,,,,,1,,,,,,
,,,,1,1,64,7,2,1,7,3,2,1,3,37,2,,,,,1,,,,1,,,,,,,1
,,,,1,1,30,99,9,1,7,4,2,3,4,6,2,,1,,,1,,,,,,,,1,,,
,,,1,,1,19,7,2,6,4,2,2,1,3,22,2,,,,,,,,,,,,,,,,
,,,,1,1,29,4,2,2,6,1,2,1,2,26,1,1,,,,,,,1,,,,,,,,1
,,,,1,1,62,6,1,1,3,3,2,1,2,17,1,,,,,,,,,,1,,,,,,
,,1,,,1,67,4,1,1,8,3,2,1,4,41,1,,,,,,,,,,,,,,,,
,1,,,1,1,51,8,4,1,7,1,1,7,3,48,1,,,,,,,1,,,,,,,,,
,,,,1,1,66,3,1,3,3,1,2,1,2,26,1,,,,,,,,,1,,,,,,,
,,,,1,1,79,9,1,1,3,1,2,1,3,1,1,1,,,,,1,,,,,,1,,,,
,,,1,,1,80,5,1,1,5,3,2,1,3,12,1,,,,,,,,,,,,,,,,
,,,,1,1,68,3,1,5,3,3,2,1,2,26,1,1,,,,1,,,,,,1,,,,,
,,,,1,1,60,7,1,1,3,2,2,1,4,8,2,1,,,,,,,,,,,1,,,,
,,,1,1,1,74,5,1,1,7,3,2,1,3,45,1,,,1,,,,,,,,,,,,,
,1,,1,,1,48,7,1,3,8,1,2,1,2,39,2,,,,,,,,,,,,,,,,
,,,1,,1,45,9,2,1,8,1,2,1,1,9,1,,,,,,,,,,,,,,,,
1,,,,,1,64,8,9,1,7,1,8,9,3,12,1,,,,,,,,,,,,,,,,
,,,,1,1,28,8,5,2,6,1,2,9,1,34,1,1,,,,1,,,,,,,,,,1,
,,,,1,1,73,98,2,1,2,3,2,2,1,34,2,,,,,,1,,,,,,,,,,
,,,,1,1,43,6,1,6,8,1,2,1,2,31,1,,,,,,,,,1,,,,,,,1
,,,,1,1,35,4,2,1,6,1,2,1,1,33,1,1,,,,,,,,,,,,,,1,
1,,,,,1,47,6,2,1,3,1,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,61,8,2,1,6,1,2,1,2,55,1,1,1,,,,,,,,,,,,,,
,,,,1,1,55,3,4,3,6,4,2,1,2,17,1,1,,,,,,,,,,,,,,,
1,,,,,1,38,7,2,4,3,1,2,1,2,18,1,,,,,,,,,,,,,,,,
,,,,1,1,28,9,1,1,6,1,2,1,4,6,1,1,,,,,,,1,,,,,,,1,
,,,,1,1,34,9,2,1,7,1,2,3,3,11,1,1,,,,1,,,,,,,1,,,,
,,,,1,1,37,8,2,1,6,4,2,1,3,45,1,1,,,,1,,,,,,,,,,,1
,,,1,,1,18,3,2,6,4,4,2,1,1,36,1,,,,,,,,,,,,,,,,
,,,1,,1,73,6,2,1,6,2,2,2,3,13,1,,,,,,,,,,,,,,,,
1,,,,,1,60,1,2,1,2,6,2,1,4,53,1,,,,,,,,,,,,,,,,
1,,,,,1,23,98,2,6,5,4,1,1,3,48,2,,,,,,,,,,,,,,,,
,,,,1,1,68,8,1,1,7,3,2,1,3,12,1,1,,,,1,,,,,,,1,,,,
,,,,1,1,59,99,9,1,7,3,2,2,3,51,2,,1,,,,,,,,,,,,,,
,,,1,,1,30,5,2,6,4,1,2,3,3,48,1,,,,,,,,,,,,,,,,
,,,1,,1,67,6,3,3,5,3,2,1,4,6,1,,,,,,,,,,,,,,,,
,,,,1,1,19,4,2,6,4,2,2,1,3,22,2,1,,,,,,,1,,,,1,,,,
,,,,1,1,48,1,2,6,4,4,2,4,2,17,1,1,,,,,1,,,,,,,,,,
,,,1,,1,22,3,1,6,3,2,2,1,2,39,1,,,,,,,,,,,,,,,,
,,,1,,1,99,99,9,9,99,99,9,9,1,50,1,,,,,,,,,,,,,,,,
,,,1,,1,63,6,2,1,6,1,2,9,3,48,2,,,,,,,,,,,,,,,,
,,,,1,1,67,6,2,1,8,3,2,1,4,53,2,,,,1,,,,,,,,,,,,
,,,,1,1,49,9,1,1,7,1,2,9,4,2,1,,1,,,1,,,,,,,,,,,1
,,,,1,1,65,9,1,1,6,3,2,1,1,36,2,1,,,,1,,,,,,,1,,,,
,,,1,,1,54,99,2,3,4,4,2,9,2,17,1,,,,,,,,,,,,,,,,
,,,1,,1,32,8,2,1,6,1,2,1,1,9,2,,,,,,,,,,,,,,,,
1,,,,,1,35,9,1,1,6,1,1,7,1,36,1,,,,,,,,,,,,,,,,
,,,1,,1,37,6,4,6,3,1,2,1,2,17,2,,,,,,,,,,,,,,,,
,,,,1,1,59,8,3,1,6,2,2,1,3,28,1,,,,,,,,1,,,,,1,,,
,,,1,,1,79,7,2,6,7,3,2,5,1,34,1,,,,,,,,,,,,,,,,
,1,,,1,1,77,6,3,1,7,3,2,1,4,53,1,1,,,,1,,,,,,1,,,1,,
,,,1,,1,91,2,1,5,3,3,2,1,2,19,2,,,,,,,,,,,,,,,,
1,,,,,1,83,4,2,5,6,3,2,1,2,17,2,,,,,,,,,,,,,,,,
1,,,,,1,74,2,2,3,3,3,2,1,2,31,1,,,,,,,,,,,,,,,,
,,,,1,1,62,8,1,1,8,3,2,1,2,39,2,,,,,,,,,,,,,1,,,
,,,,1,1,19,9,1,6,4,2,2,2,3,24,2,,,,,,1,,,,,,1,,,,
,,,,1,1,18,99,2,1,6,2,2,1,4,6,1,1,,,,1,,,,,,,,,,1,
,1,,,,1,31,9,3,1,7,1,9,9,3,37,1,,,,,,,,,,,,,,,,
,,,,1,1,22,2,2,6,4,7,2,1,2,39,1,1,,,,,,,1,,,,1,,,,1
,,,1,,1,19,9,1,6,4,4,2,1,3,1,1,,,,,,,,,,,,,,,,
,,,1,1,1,54,6,1,3,4,1,1,1,3,12,2,1,,,,,,,,1,,,,,,,1
,,,1,,1,44,2,1,3,3,5,2,1,2,39,2,,,,,,,,,,,,,,,,
,,,1,1,1,33,1,1,6,3,1,1,7,4,4,1,1,,,,1,,,,,,,,,,,
,,,,1,1,19,6,1,1,4,1,2,1,4,8,1,,,1,,,,,,1,,,,,,,1
,,,,1,1,65,8,1,1,4,5,2,1,2,26,1,1,,,,,,,,,,,,,1,,
,,,1,,1,37,2,2,4,6,1,2,1,2,18,2,,,,,,,,,,,,,,,,
,,,1,1,1,52,7,3,1,5,2,2,1,2,26,2,1,,,,,,,,,,,,,,,
,,,,1,1,82,99,2,1,7,3,2,1,1,33,1,1,,,,,,,1,,,,,,,,
,,,1,,1,53,99,3,5,4,5,2,1,2,55,1,,,,,,,,,,,,,,,,
,,,,1,1,80,7,2,1,3,3,2,1,3,24,1,1,,,,1,,,,,,,,,,,
,,1,,,1,25,7,1,6,6,1,2,3,4,6,1,,,,,,,,,,,,,,,,
1,,,,,1,62,7,2,1,4,3,2,1,1,34,1,,,,,,,,,,,,,,,,
,,,,1,1,53,4,1,5,6,3,2,1,3,5,1,1,,,,1,,,,,,,,,,,
,,,,1,1,19,98,2,6,3,2,1,1,3,48,2,,,,,,1,,,1,,1,,,,,1
,,,,1,1,40,9,2,1,6,1,2,3,4,6,2,1,,,,,,,,,,,,,,,
,,,,1,1,75,6,1,1,3,3,2,1,3,47,2,,,,,,1,,,,,,,,,,
,,,1,,1,33,7,2,1,6,1,2,1,4,6,1,,,,,,,,,,,,,,,,
1,,,,,1,55,2,2,6,3,2,2,2,2,29,1,,,,,,,,,,,,,,,,
,,,1,1,1,52,9,1,1,4,2,2,1,2,17,2,1,,,,,,,,,,,,,,,
,,,1,,1,56,7,3,6,6,1,1,1,3,12,2,,,,,,,,,,,,,,,,
,,,1,,1,59,9,1,1,7,1,2,1,3,45,1,,,,,,,,,,,,,,,,
,,,1,,1,24,8,2,2,7,1,2,2,1,42,1,,,,,,,,,,,,,,,,
,1,1,,1,1,33,2,1,3,3,2,2,1,3,12,2,,,,,,,1,,1,1,,,,1,,
,,1,,1,1,40,8,1,1,5,1,8,1,3,45,2,,,,1,,,,,,,,,1,,,
,,,1,1,1,70,6,2,1,6,3,1,1,3,48,2,,,,,,,,,,1,,,,,,
,,,,1,1,47,99,3,1,8,1,2,1,4,41,1,1,,,,1,,,,,,,1,,,,
,,,1,1,1,30,99,8,1,6,1,2,2,3,48,2,,,,1,,,1,,,,,,,,,1
,,,,1,1,31,1,1,2,5,2,2,5,4,6,1,1,,,,,1,,,,,,,,,,
,,,,1,1,47,9,2,1,8,2,2,1,2,27,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,68,9,2,3,3,3,2,1,4,53,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,82,99,1,1,5,3,2,1,2,17,1,,,,,,,,,,,,,,,,
,,1,,,1,66,2,1,5,2,3,2,1,4,41,2,,,,,,,,,,,,,,,,
,,,,1,1,46,9,2,3,6,2,2,1,3,45,2,1,,,1,,,,,,,,,,,,
,,,,1,1,39,1,2,6,2,4,1,4,4,6,2,,,,,,1,,,1,,,,,,,1
,,,,1,1,51,8,2,1,6,5,2,1,2,39,1,1,,,,1,,,,,,,,1,,,
,,,1,1,1,65,6,2,3,6,2,2,1,3,12,2,1,,,,,,,,,,,,1,,,
,,,1,,1,88,7,1,5,4,3,2,1,2,18,2,,,,,,,,,,,,,,,,
,,,,1,1,53,99,2,3,6,1,2,1,1,36,2,1,,,,1,,,,,,,1,,,,
,1,,,1,1,81,6,2,5,6,3,2,1,2,17,1,,1,,,,,,,,,,,,,,
,1,,,,1,64,5,1,1,6,3,2,1,3,37,2,,,,,,,,,,,,,,,,
